,asin,product_name,price,rating,review_count,discount,image_url,product_link,aesthetic
911,B0GJQJ531J,Great Oak Men and Boys Full Sleeves Hooded Neck Dark Green Towelling Embroidery Cotton Blend Oversized Fit Zipper Hoodie,2399,,,(8% off),https://m.media-amazon.com/images/I/61oBwf6VzmL._AC_UL320_.jpg,https://www.amazon.in/Souled-Store-Towelling-Embroidery-Oversized/dp/B0GJQJ531J,streetwear
912,B0D8FVCYLP,Boston Dropshoulder Oversize Hoodie - Baggy Fit for Men,789,4.0,65,(47% off),https://m.media-amazon.com/images/I/514dYn-2riL._AC_UL320_.jpg,https://www.amazon.in/BE-SAVAGE-Dropshoulder-Regular-Oversize/dp/B0D8FVCYLP,streetwear
913,B0DSB1GGZS,Cotton Blend Oversized Hoodies | Slytherin Pride Graphic Print Unisex Hoodie | Ribbed Cuff Long-Sleeve | Drop Shoulder Relaxed Fit Hoodie,1699,,,(43% off),https://m.media-amazon.com/images/I/51ZT0mI7XyL._AC_UL320_.jpg,https://www.amazon.in/Street-Wear-Co-Oversized-Long-Sleeve/dp/B0DSB1GGZS,streetwear
914,B0F4K623NN,Mens Co-Ord Set,1459,,,(65% off),https://m.media-amazon.com/images/I/61m5jYmVVEL._AC_UL320_.jpg,https://www.amazon.in/Highlander-Shoulder-Oversized-Sweatshirt-Trouser/dp/B0F4K623NN,streetwear
915,B0G51YRWX4,Marvel: Comics Men and Boys Long Sleeve Hooded Neck Mint Green Graphic Printed Cotton Blend Patch Everyday Oversized Hoodie,2199,,,(39% off),https://m.media-amazon.com/images/I/71UBWjiSQ2L._AC_UL320_.jpg,https://www.amazon.in/Souled-Store-Marvel-Everyday-Oversized/dp/B0G51YRWX4,streetwear
916,B09CZGLHH8,"Men's Oversized Sweatshirt, Plain, Popular, Pullover, Trainer, Top, Casual, Fashionable, Simple, Stylish, Drop Shoulder, Loose, Hoodie, Unisex, Spring and Autumn Clothing",8939,4.4,162,(46% off),https://m.media-amazon.com/images/I/51zkKkYR26L._AC_UL320_.jpg,https://www.amazon.in/foveitaa-Oversized-Sweatshirt-Pullover-Fashionable/dp/B09CZGLHH8,streetwear
917,B0FK24V1MJ,Drop-Shoulder Pullover Hoodie for Men | 430 GSM Cotton Brushed Loopknit | 88% Cotton 12% Polyester | Non-Zipper Heavyweight Hooded Sweatshirt,899,,,(25% off),https://m.media-amazon.com/images/I/41-TsifRHML._AC_UL320_.jpg,https://www.amazon.in/OFFGRID-TEES-Drop-Shoulder-Non-Zipper-Heavyweight/dp/B0FK24V1MJ,streetwear
918,B0DV9GWS97,Colourblock Hoodie: Auburn Men and Boys Long Sleeves Hooded Neck Pull On Cotton Blend Oversized Hoodies,1999,,,(29% off),https://m.media-amazon.com/images/I/61+Kgz+TImL._AC_UL320_.jpg,https://www.amazon.in/Souled-Store-Colourblock-Hoodie-Oversized/dp/B0DV9GWS97,streetwear
919,B0DPL2K7TQ,X Disney Mickey Men's Fleece Oversized Fit Hoodies | Bewakoof Heavy Duty® 1.0 | Hoodie for Men Winter Wear,1349,5.0,1,(60% off),https://m.media-amazon.com/images/I/61sqKIsEHYL._AC_UL320_.jpg,https://www.amazon.in/Bewakoof-Official-Merchandise-Oversized-Hoodies_644539_Black_XL/dp/B0DPL2K7TQ,streetwear
920,B0DRYCYQ1M,Men's Plain Acid Wash Oversized Hoodie,999,5.0,1,(60% off),https://m.media-amazon.com/images/I/612vFUev-OL._AC_UL320_.jpg,https://www.amazon.in/crazymonk-Mens-Plain-Oversized-Hoodie/dp/B0DRYCYQ1M,streetwear
921,B0GHKTPWKH,Olive Haze Men and Boys Full Sleeves Hooded Neck Solid Cotton Blend Oversized Fit Premium Heavy Fleece Streetwear Casual Hoodie,2399,,,(25% off),https://m.media-amazon.com/images/I/61pCrHPZ3gL._AC_UL320_.jpg,https://www.amazon.in/Souled-Store-Sleeves-Oversized-Streetwear/dp/B0GHKTPWKH,streetwear
